rating,total_sales,mean_sales,count
M,231.57,0.46499999999999997,498
E,114.37,0.28954430379746837,395
Unknown,103.31,0.08102745098039216,1275
E10+,75.7,0.2473856209150327,306
T,66.02,0.16024271844660193,412
AO,0.0,,0
EC,0.0,,0
K-A,0.0,,0
RP,0.0,,0
