rating,total_sales,mean_sales,count
M,193.96,0.38947791164658635,498
E,113.03,0.28615189873417723,395
Unknown,91.5,0.07176470588235294,1275
E10+,55.37,0.18094771241830065,306
T,52.96,0.12854368932038834,412
AO,0.0,,0
EC,0.0,,0
K-A,0.0,,0
RP,0.0,,0
